pdf_order,series_code,series_title,mega_group,episodes,sections,year_from,year_to
1191,SA67DT1-7,In un-educating ourselves is a new kind of education,06,7,6A,1967,1967
1198,BR69DSS1-10,Learning is intelligence,06,10,6A,1969,1969
1210,BR71DT1-2,An intelligent mind,06,2,6A,1971,1971
1212,BR72DSS1.1-1.10,We are here to learn,06,10,6A,1972,1972
1214,BR72DT1.1-1.2,Sanity and responsibility,06,2,6A,1972,1972
1225,BR72DSS2.1-2.7,The listening mind,06,7,6A,1972,1972
1233,BR73DSS1.01-1.12,Learning is the most important thing,06,12,6A,1973,1973
1236,BR73DT1.1-1.4,A seed of sanity,06,3,6A,1973,1973
1248,BR74DSS1.1-1-8,Thought is never free,06,8,6A,1974,1974
1256,BR75DSS1.1-1.15,Learn while you are young,06,15,6A,1975,1975
1271,BR76DT1-6,How will you awaken intelligence in a student?,06,6,6A,1976,1976
1277,BR76DSS2.1-2.6,Learning is not competition,06,6,6A,1976,1976
1283,BR77DSS1.1-1.2,Can you act in the world without any pressure from,06,2,6A,1977,1977
1285,BR77DSS2.1-2.8,What happens to the brain that is completely free from all,06,8,6A,1977,1977
1293,BR78DSS1.1-1.5,What is the real beauty of relationship?,06,5,6A,1978,1978
1298,BR78DSS2.1-2.4,Demanding intelligence,06,4,6A,1978,1978
1300,BR78DT1-2,Is it possible to educate the students to be totally non-selfish?,06,1,6A,1978,1978
1303,BR79DSS1.1-1.6,How do we bring about a harmonious life?,06,6,6A,1979,1979
1308,BR79DT2.1-2.3,How can we help the student to understand the nature of,06,3,6A,1979,1979
1312,BR79DSS2.1-2.2,Freedom implies love and responsibility,06,2,6A,1979,1979
1314,BR80DSS1.1-1.4,Is Brockwood helping you to be totally responsible for,06,4,6A,1980,1980
1318,BR80DT2.1-2.8,What makes us think and cooperate together?,06,8,6A,1980,1980
1323,BR80DSS2.1-2.2,Learning through listening,06,2,6A,1980,1980
1329,BR81DSS1-3,Is there a solution to all psychological problems?,06,3,6A,1981,1981
1330,BR81DT1-6,Can we educate ourselves and students to understand conflict,06,6,6A,1981,1981
1338,BR82DSS1.1-1.4,What does it mean to be a good human being?,06,4,6A,1982,1982
1342,BR82DSS2.1-2.3,Can you live a life of great intelligence and integrity?,06,3,6A,1982,1982
1346,BR83DSS1.1-1.6,The brain cannot deteriorate when it is free,06,6,6A,1983,1983
1352,BR83DT2.1-2.2,Affection means there is no authority,06,2,6A,1983,1983
1355,BR85DS1.1-1.3,There is freedom when there is learning,06,3,6A,1985,1985
1358,RA65TS1-4,One can learn easily when there is an atmosphere of freedom,06,4,6B,1965,1965
1362,RA67TS1.1-1.3,Can we change the whole structure of society?,06,3,6B,1967,1967
1365,RA69TS1-3,Can the human mind mutate?,06,3,6B,1969,1969
1370,RV78DT1-7,What is the function of a good teacher?,06,7,6B,1978,1978
1371,RV78DS1-7,Thinking about the future is the beginning of fear,06,7,6B,1978,1978
1384,RV79DS1-4,Begin to learn how to learn,06,4,6B,1979,1979
1388,RV80DS1-4,Never stop learning,06,4,6B,1980,1980
1392,RA81DS1-2,Learning and sensitivity,06,2,6B,1981,1981
1394,RV81DS1-2,Is there a learning that’s not restricted to a particular point of,06,2,6B,1981,1981
1396,RV82DS1-3,Is it possible to uncondition the brain?,06,3,6B,1982,1982
1399,RV83DS1-4,A good human being is one who is not fragmented,06,4,6B,1983,1983
1403,RV84DS1-3,Each time you watch you are learning,06,3,6B,1984,1984
1406,RV85DT1-3,Can the mind be in a state of not-knowing?,06,3,6B,1985,1985
1407,RV85DS1-2,In attention there is no effort,06,2,6B,1985,1985
1411,RV85S1-2,Can educators bring about a mutation?,06,2,6B,1985,1985
1415,OJ77DT1-4,What is the meaning of education?,06,4,6C,1977,1977
1419,WO78DSS1-3,Proper education is the cultivation of the wholeness of man,06,3,6C,1978,1978
1446,US97EBM1-12,Beyond myth & tradition,08,12,8A,1997,1997
1466,US66FRR1-8,The real revolution,09,8,9A,1966,1966
